date,USD_CHF,EUR_GBP,USD_CAD,GBP_JPY,EUR_USD,EUR_JPY,EUR_CHF,GBP_USD,USD_JPY
2017-01-02 15:28:00,,0,0,0,1,0,0,0,1
2017-01-02 15:31:00,,1,0,0,0,0,,1,0
2017-01-02 15:34:00,,1,1,0,1,1,,1,0
2017-01-02 15:37:00,0,0,0,1,1,0,0,0,1
2017-01-02 15:40:00,1,1,1,0,1,0,1,1,0
2017-01-02 15:43:00,1,1,0,1,0,1,0,1,1
2017-01-02 15:46:00,,0,0,0,,0,,0,0
2017-01-02 15:49:00,,1,1,1,,1,,0,1
2017-01-02 15:52:00,0,0,0,0,0,0,0,1,0
2017-01-02 15:55:00,0,0,0,1,0,1,1,1,1
2017-01-02 15:58:00,,0,0,0,1,0,0,0,1
2017-01-02 16:01:00,,1,0,1,1,1,1,1,0
2017-01-02 16:04:00,0,0,0,0,1,0,0,0,0
2017-01-02 16:07:00,0,0,1,,0,0,0,1,0
2017-01-02 16:11:00,1,0,,,1,1,1,1,1
2017-01-02 16:14:00,0,0,,,0,0,0,0,0
2017-01-02 16:17:00,1,1,0,1,1,1,1,0,1
2017-01-02 16:20:00,0,0,1,0,0,0,0,1,0
2017-01-02 16:23:00,0,1,0,,0,0,0,0,0
2017-01-02 16:26:00,0,0,,,1,1,0,0,0
2017-01-02 16:29:00,1,1,,,0,1,1,1,0
2017-01-02 16:33:00,0,0,1,1,1,1,0,0,1
2017-01-02 16:36:00,0,1,1,0,0,0,0,0,0
2017-01-02 16:39:00,1,1,0,0,1,1,1,0,0
2017-01-02 16:42:00,0,0,,0,0,1,0,0,0
2017-01-02 16:45:00,0,1,,1,0,1,0,1,1
2017-01-02 16:48:00,1,0,0,1,1,1,1,0,1
2017-01-02 16:51:00,0,1,0,0,0,0,0,1,0
2017-01-02 16:54:00,1,1,1,1,0,0,1,1,0
2017-01-02 16:57:00,0,0,0,0,0,0,0,0,0
2017-01-02 17:00:00,1,,,,1,,1,,1
2017-01-02 17:03:00,0,,,,0,,0,,0
2017-01-02 17:06:00,1,0,1,,1,,1,0,0
2017-01-02 17:09:00,0,1,,1,1,1,,,1
2017-01-02 17:12:00,1,0,,0,1,1,,,0
2017-01-02 17:15:00,0,1,1,0,0,0,0,1,0
2017-01-02 17:18:00,0,0,1,1,1,0,1,1,1
2017-01-02 17:21:00,1,1,1,0,0,1,1,0,0
2017-01-02 17:24:00,1,1,,1,1,1,0,1,0
2017-01-02 17:27:00,0,0,,1,0,0,1,0,1
2017-01-02 17:30:00,0,0,1,1,0,1,0,1,1
2017-01-02 17:33:00,0,1,1,0,0,0,0,1,0
2017-01-02 17:36:00,1,0,0,0,0,1,0,0,0
2017-01-02 17:39:00,0,1,1,0,1,1,1,0,0
2017-01-02 17:42:00,1,0,1,1,0,1,0,0,1
2017-01-02 17:45:00,0,1,0,1,1,0,1,1,1
2017-01-02 17:48:00,1,0,0,0,0,0,0,0,0
